DATE,RGDPMPUKA_PC1
1959-01-01,4.10782
1960-01-01,6.27910
1961-01-01,2.67582
1962-01-01,1.09501
1963-01-01,4.87789
1964-01-01,5.53800
1965-01-01,2.12887
1966-01-01,1.56549
1967-01-01,2.78166
1968-01-01,5.44912
1969-01-01,1.92166
1970-01-01,2.71650
1971-01-01,3.47934
1972-01-01,4.29447
1973-01-01,6.51607
1974-01-01,-2.47267
1975-01-01,-1.48834
1976-01-01,2.92178
1977-01-01,2.46321
1978-01-01,4.19528
1979-01-01,3.73550
1980-01-01,-2.04116
1981-01-01,-0.77893
1982-01-01,2.01567
1983-01-01,4.22057
1984-01-01,2.27457
1985-01-01,4.18731
1986-01-01,3.15325
1987-01-01,5.35948
1988-01-01,5.78740
1989-01-01,2.58290
1990-01-01,0.71688
1991-01-01,-1.11898
1992-01-01,0.35987
1993-01-01,2.50701
1994-01-01,3.88507
1995-01-01,2.50637
1996-01-01,2.54873
1997-01-01,3.12718
1998-01-01,3.19078
1999-01-01,3.28335
2000-01-01,3.74496
2001-01-01,2.72611
2002-01-01,2.39725
2003-01-01,3.46617
2004-01-01,2.52794
2005-01-01,2.97210
2006-01-01,2.50301
2007-01-01,2.55582
2008-01-01,-0.62721
2009-01-01,-4.32774
2010-01-01,1.91510
2011-01-01,1.50912
2012-01-01,1.31302
2013-01-01,1.91108
2014-01-01,3.07048
2015-01-01,2.19423
2016-01-01,1.80602
